見た目,n
布,n
場,n
一,num pref
月曜日,n adv
永遠,n adj-no adj-na
血,n
見つめる,v1 vt
恐れる,v1 vt
木,n
結婚,n vs vi
さあ,int
多分,adv
子供,n
足,n
罪,n adj-na adj-no
無事,n adj-na
偉い,adj-i
そんなに,adv
様々,adj-na n
残り,n adj-no
選ぶ,v5b vt
返す,v5s vt
どうぞ,adv
気配,n
昔,n adj-no adv
酒,n
パン,n
噂,n vs adj-no
悲しい,adj-i
下,n
思わず,adv
一番,n
取る,v5r vt
頃,n adv n-suf
姉,n-suf
屋敷,n
背,n
九つ,num
鍵,n
現在,n adv adj-no
父,n
大事,adj-na
今回,n adv
珍しい,adj-i
警察,n
少年,n
光,n
鳴る,v5r vi
体力,n
反応,n vs vi
変,adj-na
後,n n-suf adv
素直,adj-na n
似る,v1 vi
勘違い,n vs vi
現実,n
足,ctr
家,n
遊ぶ,v5b vi
抑える,v1 vt
二度と,adv
頭,n
大変,adv
能力,n
怒る,v5r vi
緊張,n vs vi
始め,n adv
気に入る,exp v5r
多少,adv adj-no
当てる,v1 vt
事実,adv n
嫌い,n-suf
流れ,n
際,n
決意,n vs vt
減る,v5r vi
先日,n adv
起こる,v5r vi
家族,n
実力,n
動かす,v5s vt
掃除,n vs vt
違い,n
空,n adj-no
少なくとも,adv
過ぎる,v1 vi
生活,n vs vi
愛,pref
包む,v5m vt
苦手,adj-na n
追う,v5u vt
真面目,n
連れる,v1 vt
学生,n
経つ,v5t vi
意味,n vs vt
呼吸,n vs vt vi
遅い,adj-i
少し,adv
先輩,n
お菓子,n
